Interestelar, filmes cientificos 
Vingadores a guerra de ultrom, filme de herois
star wars os ultimos jedi, filme de guerra no espaço
star wars a ascensão skywalker, filme de guerra no espaço
star wars a guerra dos clones, filme de guerra no espaço
star wars rogue one, filme de guerra no espaço
Pele o nascimento de uma lenda, esporte
The boys, serie de heroi
Stranger Things, serie de suspense
Invencivel, serie de heroi
O exorcismo do padre, filme de terror
Fallout, serie pos-apocaliptica
Jumanji, filme de acao
Para todos os garotos que ja amei, filme de romance
Trolls 2, filme de animacao
Game of Thrones, serie de fantasia
Largados e pelados, serie de sobrevivencia
A prova de tudo Bear Grylls, serie de sobrevivencia
